country_code,country_name,year,infant_mortality,life_expectancy,literacy_rate,school_enrollment,population,income_group,disbursements_constant_usd,Total ODA,Total Population,ODA per Capita,Literacy (Lag 1),Literacy (Lag 2),Literacy (Lag 3),Group Mean Enrollment,Group SD Enrollment,Z Enrollment,Group Mean IMR,Group SD IMR,Z IMR,Group Mean LifeExp,Group SD LifeExp,Z LifeExp,Group Mean Literacy,Group SD Literacy,Z Literacy,Mismatch Flag,Latest Year,Latest ODA,Latest Population,Latest Life Expectancy,Latest Infant Mortality,Latest Enrollment,Latest Literacy,Avg Enrollment,Avg Infant Mortality,Avg Life Expectancy,Avg Literacy
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2001,56.6,62.836,47.0,50.31414032,136805810.0,Lower middle income,,,136805810.0,,,,,50.31414032,,,71.8,21.496046148071045,-0.7071067811865474,62.5385,0.420728534805995,0.7071067811865475,47.0,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2002,53.6,63.591,,51.41809845,138933658.0,Lower middle income,,,138933658.0,,47.0,,,51.41809845,,,69.3,22.203152929257595,-0.7071067811865472,63.073499999999996,0.7318555185280768,0.7071067811865548,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2003,50.9,64.288,,51.25708008,140970351.0,Lower middle income,,,140970351.0,,,47.0,,35.58446026,22.16443150736138,0.7071067811865475,67.15,22.980970388562795,-0.7071067811865478,63.561,1.0281332598452355,0.7071067811865476,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
BGD,Bangladesh,2004,48.4,64.912,,47.86413956,142902856.0,Lower middle income,,,142902856.0,,,,47.0,34.88632965,18.353394784621955,0.7071067811865475,65.1,23.61736649163069,-0.7071067811865472,64.00450000000001,1.2833988078535896,0.7071067811865434,,,,Normal,2023,,171466990.0,74.672,24.4,71.49470683,,58.7628162375,37.9375,68.41125,67.457950115
